"","lhs","Var.2","rhs","support","confidence","coverage","lift","count"
"[1]","{job,visitor}","=>","{admission}",0.0140562248995984,1,0.0140562248995984,6.12923076923077,308
"[2]","{job,twitter}","=>","{admission}",0.0139649507119387,1,0.0139649507119387,6.12923076923077,306
"[3]","{blend,job,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[4]","{featured,job,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[5]","{job,timely,visitor}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[6]","{job,monthly,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[7]","{job,timely,twitter}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[8]","{job,poster,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[9]","{dozen,job,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[10]","{entry,job,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[11]","{job,latest,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[12]","{job,subscribe,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[13]","{job,longer,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[14]","{feature,job,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[15]","{job,source,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[16]","{job,timely,unique}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[17]","{follow,job,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[18]","{job,list,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[19]","{add,job,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[20]","{job,timely,topic}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[21]","{check,job,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[22]","{job,something,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
"[23]","{forum,job,timely}","=>","{admission}",0.0137824023366192,1,0.0137824023366192,6.12923076923077,302
